station_name,latitude,longitude
Esther Shiner Stadium,43.7756962,-79.4466356
Euclid Ave / Bloor St W,,
Euclid Ave / Herrick St - SMART,,
Exhibition GO (Atlantic Ave),43.6376887,-79.420201
Exhibition GO Station,43.6352125,-79.4187963
Fairmount Park,43.6759694,-79.3158648
Finch West Subway Station,43.765036,-79.4911601
Fleet St / Bathurst St,43.6368786,-79.3999844
Fleming Cres / Bayview Ave,43.7071996,-79.3756129
Florence Gell Park,43.6619288,-79.4981987
Fort York  Blvd / Capreol Ct,,
Fort York Blvd / Bathurst St SMART,,
Fort York Blvd / Garrison Rd,,
Foster Pl / Elizabeth St,,
Frederick St / King St E,43.649249,-79.3679828
Frederick St / The Esplanade,43.6485869,-79.3690619
Frobisher Ave / Lascelles Blvd,43.6967042,-79.400458
Front St / Simcoe St,,
Front St E / Bayview Avenue,,
Front St E / Cherry St,43.6528828,-79.3580952
Front St E / Scott St,,
Front St W / Bay St (North Side),,
Front St W / Bay St (South Side),,
Front St W / Blue Jays Way,43.6434801,-79.3906534
Front St W / University Ave (1),,
Front St W / University Ave (2),,
Front St W / Yonge St (Hockey Hall of Fame),,
Fulton Ave / Pape Ave,43.6838081,-79.3467928
G Ross Lord Park,43.7789858,-79.4610736
Gailbraith Rd / Kings College Cr. (U of T),,
Gailbraith Rd / Kingâs College Cr. (U of T),,
Gamble Ave / Broadview Ave,43.6892793,-79.3545241
Garden Ave / Roncesvalles Ave,43.6434063,-79.4478706
George St / King St E,43.9115088,-78.6862439
Gerrard Square Mall (1010 Gerrard St E),43.669524,-79.3389805
Gerrard St E / Broadview - SMART,,
Gerrard St E / Leslie St,,
Gerrard St E / Malvern Ave - SMART,,
Gerrard St E / River St,43.6634883,-79.3590277
Gerrard St E / Ted Reeve Dr,,
Gerrard St E / Victoria Park Ave - SMART,,
Glebe Rd W / Yonge St,43.7007679,-79.3974287
Glen Edyth Dr / Davenport Rd,,
Glendonwynne Ave / Bloor St W,,
Goodwood Park Ct / Dentonia Park,,
Gould St / Mutual St,,
Gould St / Yonge St (Ryerson University),,
Granby St / Church St - SMART,,
Guildwood GO Station (South),,
HTO Park (Queens Quay W),43.6379645,-79.3874561
Hanna Ave / Liberty St,43.6382642,-79.4195443
Harbord St / Clinton St,,
Havelock St / Dufferin Park,,
Hayter St / Laplante Ave,,
High Park - Grenadier Cafe,,
High Park - West Rd,43.6461366,-79.4691477
High Park Amphitheatre,,
High Park Ave / Dundas St W,,
High Park Outdoor Pool,43.6494974,-79.4653944
High Park Subway,43.6544342,-79.4655451
High Park Subway Station,43.6544342,-79.4655451
Highfield Rd / Gerrard St E,,
Hillsdale Ave W / Yonge St,43.7032744,-79.3980628
Hocken Ave./Vaughan Rd.,,
Housey St / Dan Leckie Way,,
