station_name,latitude,longitude
Dundas St E / George St,43.6574326027245,-79.3734940890386
Dundas St E / Parliament St,43.659227,-79.3658214
Dundas St E / Pembroke St - SMART,43.6583432969745,-79.3724126313675
Dundas St E / Regent Park Blvd,43.6601302,-79.3616424
Dundas St E / Victoria St,43.6564895892273,-79.3795952602032
Dundas St W / Crawford St,43.6502169319699,-79.4170325736968
Dundas St W / Edna Ave,43.6574369754248,-79.4527035313676
Dundas St W / Roncesvalles Green P - SMART,43.6537595013049,-79.4517171755191
Dundas St W / St Helen Ave - SMART,43.6503292925566,-79.4409557203492
Dundas St W / St. Patrick St,43.6546590079284,-79.3902829160256
Dundas St W / Watkinson Ave,43.6650294652797,-79.4602781935564
Dundas St W / Yonge St,43.6558423,-79.3839045
Dundonald St / Church St,43.6665946,-79.3814682
Dupont St / Emerson Ave SMART,43.6673893875706,-79.4441430448606
Durie St / Dundas St W,43.6657862748429,-79.4849070467093
E.T. Seton Park (Eglinton Ave E / Leslie St),43.716743677693,-79.3490130025297
East Lynn Ave / Danforth Ave,43.68505,-79.3153536
Eastern Ave / Winnifred Ave,43.659400455701,-79.335132302532
Eastwood Rd / Coxwell Ave,43.6727597,-79.3191212
Eastwood Rd / Woodbine Ave - SMART,43.676679280996,-79.3089800602023
Edward St / Yonge St,43.656837,-79.382563
Eglinton Ave E / Redpath Ave,43.7078749,-79.3924203
Eglinton Ave W / Henning Ave SMART,43.7062969,-79.4016121
Eglinton Ave W / Scarlett Rd,43.6836259,-79.5109535
Elizabeth St / Edward St (Bus Terminal),43.6562769785739,-79.3854967602032
Ellis Ave / The Queensway,43.6378709,-79.4659966
Elm St/ University Ave (East Side),43.6564639,-79.3878214
Elwood Blvd / Avenue Rd,43.7070439,-79.4096215
Emerson Ave / Bloor St W,43.6589158475522,-79.4407623890385
Erskine Ave / Yonge St SMART,43.7112736395208,-79.3992793736944
Essex St / Christie St - SMART,43.6685219453294,-79.4202947602026
Esther Shiner Stadium,43.7756962,-79.4466356
Euclid Ave / Bloor St W,43.6644871950752,-79.4148510736962
Euclid Ave / Herrick St - SMART,43.6620842012886,-79.4139426467095
Exhibition GO (Atlantic Ave),43.6376887,-79.420201
Exhibition GO Station,43.6352125,-79.4187963
Fairmount Park,43.6759694,-79.3158648
Finch West Subway Station,43.765036,-79.4911601
Fleet St / Bathurst St,43.6368786,-79.3999844
Fleming Cres / Bayview Ave,43.7071996,-79.3756129
Florence Gell Park,43.6619288,-79.4981987
Fort York  Blvd / Capreol Ct,43.6403393094046,-79.3956797691134
Fort York Blvd / Bathurst St SMART,43.6390570608164,-79.4006772890394
Fort York Blvd / Garrison Rd,43.6375062325148,-79.4040195670101
Foster Pl / Elizabeth St,43.6545898188543,-79.3848452993399
Frederick St / King St E,43.649249,-79.3679828
Frederick St / The Esplanade,43.6485869,-79.3690619
Frobisher Ave / Lascelles Blvd,43.6967042,-79.400458
Front St / Simcoe St,43.6449559367743,-79.385039989039
Front St E / Bayview Avenue,43.6537409228599,-79.3536805025322
Front St E / Cherry St,43.6528828,-79.3580952
Front St E / Scott St,43.6476575921309,-79.375789189039
Front St W / Bay St (North Side),43.6462780888741,-79.3794840000926
Front St W / Bay St (South Side),43.6458743833108,-79.3788402699613
Front St W / Blue Jays Way,43.6434801,-79.3906534
Front St W / University Ave (1),43.6453168615321,-79.3831964582896
Front St W / University Ave (2),43.6449745752054,-79.3834048097065
Front St W / Yonge St (Hockey Hall of Fame),43.6473962775009,-79.3774679628112
Fulton Ave / Pape Ave,43.6838081,-79.3467928
G Ross Lord Park,43.7789858,-79.4610736
Gailbraith Rd / Kings College Cr. (U of T),43.6618101326865,-79.3951820890384
Gamble Ave / Broadview Ave,43.6892793,-79.3545241
Garden Ave / Roncesvalles Ave,43.6434063,-79.4478706
George St / King St E,43.6509551804968,-79.370697541787
Gerrard Square Mall (1010 Gerrard St E),43.669524,-79.3389805
Gerrard St E / Broadview - SMART,43.66563242101230,-79.35262137116450
Gerrard St E / Leslie St,43.6700054832942,-79.33309811787360
Gerrard St E / Malvern Ave - SMART,43.68527840723090,-79.2947190890375
