station_name,latitude,longitude,cluster,k
Jameson Ave / Queen St W,43.6396945,-79.4368676,1,4
Jane St / Bloor St W (Jane Subway Station),43.6499246568523,-79.4838210300721,1,4
Jarvis St / Carlton St,43.6625452,-79.3765801,0,4
Jarvis St / Dundas St E,43.6571222,-79.3743386,0,4
Jarvis St / Isabella St,43.6691423,-79.3793983,0,4
Jarvis St / Maitland Pl,43.6653340095923,-79.3778882313673,0,4
Jarvis St / Richmond St E,43.6526421,-79.374142,0,4
Jimmie Simpson Park (Queen St E),43.6613859879273,-79.3447826736964,2,4
John St  / Mercer St - SMART,43.6461303039244,-79.389492530798,0,4
Joseph J Piccininni Community Centre,43.6753158,-79.4515427,1,4
Judson St / Royal York,43.6163521846301,-79.4984076602048,1,4
Keele St / Annette St,43.6636671,-79.463587,1,4
Keele St / Vine Ave,43.6667355892612,-79.4650519313672,1,4
Kendal Ave / Bernard Ave,43.6720923356345,-79.4084107448605,0,4
Kendal Ave / Spadina Rd,43.6704053,-79.4052087,0,4
Kew Beach Ave / Kenilworth Ave,43.66677965006,-79.3006636602027,2,4
Kilgour Rd / Rumsey Rd,43.7182991240458,-79.3716849919558,0,4
King / Cowan Ave - SMART,43.6380615905161,-79.4318558485591,1,4
King St E / Church St,43.650002,-79.374494,0,4
King St E / Jarvis St,43.6501395,-79.3725329,0,4
King St E / Ontario St.,43.6518027410405,-79.3660818490542,0,4
King St E / River St,43.6569236,-79.356364,2,4
King St E / Victoria St,43.6495672336494,-79.3767516602034,0,4
King St W / Bay St (East Side),43.6488229527268,-79.3796561982438,0,4
King St W / Bay St (West Side),43.6486680185346,-79.3808980958271,0,4
King St W / Brant St,43.645129699972,-79.397611131368,0,4
King St W / Charlotte St (West Side),43.645631726708096,-79.3937471646064,0,4
King St W / Crawford St,43.6417896971911,-79.4137996736972,0,4
King St W / Douro St,43.6409481,-79.4164811,0,4
King St W / Fraser Ave,43.6396449881381,-79.4248466602039,0,4
King St W / Joe Shuster Way,43.6395764,-79.4237259,0,4
King St W / Jordan St,43.6491251979871,-79.3787379583548,0,4
King St W / Spadina Ave,43.6458183,-79.395113,0,4
King St W / Stafford St,43.6424125497386,-79.4107397809075,0,4
King St W / Tecumseth St,43.6435646769939,-79.4052578025327,0,4
King St W / York St,43.6478273,-79.3833728,0,4
Kings Mill Park,43.6494585746259,-79.493255566759,1,4
Kingston Rd / Beech Ave,43.6804363312721,-79.2906815448601,2,4
Lake Shore Blvd E / Knox Ave,43.6603299,-79.3243635,2,4
Lake Shore Blvd E / Leslie St,43.6594098938032,-79.328485817874,2,4
Lake Shore Blvd W / Colborne Lodge Dr,43.6381264339916,-79.4589789448618,1,4
Lake Shore Blvd W / Ellis Ave,43.6359568,-79.4650412,1,4
Lake Shore Blvd W / Louisa St,43.6190789782899,-79.4864667871915,1,4
Lake Shore Blvd W / Ontario Dr,43.5977713,-79.5169115,1,4
Lake Shore Blvd W / The Boulevard Club,43.6366117,-79.4446502,1,4
Lake Shore Blvd W / Thirty Ninth Street,43.5930367501497,-79.5406186602056,1,4
Lake Shore Blvd W / Twenty Fourth St,43.59717441856569,-79.52248833137,1,4
Lake Shore Blvd W / Windermere Ave,43.6353527703901,-79.4681446160263,1,4
Langford Ave / Danforth Ave - SMART,43.6799084736249,-79.3406418467088,2,4
Lansdowne Ave / Whytock Ave,43.6539747971218,-79.4411251313677,1,4
Lansdowne Subway Station,43.6591684,-79.4435743,1,4
Lascelles Blvd / Eglinton Ave W,43.7054379,-79.4035336,0,4
Lawton Blvd / Yonge St,43.6917051,-79.3957712,0,4
Liberty St / Fraser Ave Green P,43.6377674288122,-79.4241120025328,0,4
Lisgar Park,43.6424319,-79.4236997,0,4
Lisgar St / Dundas St SMART,43.6496354072182,-79.4267637025324,0,4
Little Norway Park,43.6345063,-79.3983446,0,4
Livingston Rd (Highland Creek Trail),43.7531163034059,-79.2016630770805,3,4
Livingston Rd / Guildwood Pkwy,43.7476674,-79.199105,3,4
Logan Av / Gerrard St E,43.6671584,-79.3449489,2,4
Logan Ave / Bain Ave,43.672177216054706,-79.3472103313669,2,4
Long Branch GO Station,43.5921076,-79.5437152,1,4
Lonsdale Rd / Spadina Rd,43.6885255,-79.4129041,0,4
Lower Don River Trail and Taylor Creek Trail,43.7029679846168,-79.3336061632668,2,4
Lower Jarvis / Queens Quay E,43.6438577,-79.3695119,0,4
Lower Sherbourne St / The Esplanade,43.6491304,-79.367165,0,4
Lower Simcoe St / Bremner Blvd,43.6425575158126,-79.3840558178748,0,4
Lower Spadina Ave / Lake Shore Blvd,43.6385229,-79.3918819,0,4
Lumsden Ave / Eastdale Ave,43.6958168570011,-79.301220189037,2,4
Lundy Ave / Etienne Brule Park,43.6625213,-79.5030166,1,4
Lynn Williams St / East Liberty St - SMART,43.6388406549511,-79.4172781043815,0,4
Macpherson Ave / Spadina Rd,43.6760615831528,-79.4074530448603,0,4
Madison Ave / Bloor St W,43.6671062926655,-79.4027298602027,0,4
Mallon Ave / Jones Ave -SMART,43.6660121911317,-79.3341302448607,2,4
Marie Curtis Park,43.5850755,-79.5427596,1,4
Marilyn Bell Park Tennis Court,43.6335274,-79.4374089,1,4
Martin Goodman Trail (Marilyn Bell Park),43.6314079737008,-79.4304113413221,1,4
Martin Goodman Trail / Ontario Dr,43.6461519,-79.3533167,2,4
Mary McCormick Rec Centre (Sheridan Ave),43.64749158538049,-79.4328436479782,1,4
McGill St / Church St,43.6598776,-79.3822854,0,4
Merton St / Mount Pleasant Rd,43.6982903,-79.3866137,0,4
Metro Hall Plaza,43.6458806333698,-79.3878425306566,0,4
Mill St / Parliament St,43.6502909,-79.3622834,0,4
Mill St / Tannery Rd,43.6523169893235,-79.3543124160257,2,4
Moore Park,43.6903876,-79.3832965,0,4
Morningside Park (Highland Creek Trail),43.7890783,-79.1934176,3,4
Morse St / Eastern Ave,43.658298159121,-79.340173802532,2,4
Mortimer Ave / Carlaw Ave SMART,43.6854403408848,-79.3499247178729,2,4
Mortimer Ave / Coxwell Ave,43.6908465,-79.3267754,2,4
Nassau St / Bellevue Ave,43.6551170193021,-79.4035986160256,0,4
Navy Wharf Ct. / Bremner Blvd.,43.6409687201246,-79.3915992736972,0,4
Neil McLellan Park,43.6514985,-79.4771633,1,4
Nelson St / Duncan St,43.6488966724898,-79.3889117840674,0,4
Niagara St / Richmond St W,43.6451652539139,-79.4094885890391,0,4
Niagara St / Tecumseth St,43.6412134,-79.4044571,0,4
Noble St / Queen St W,43.6420816629617,-79.4297163199824,1,4
Northern Dancer Blvd / Lake Shore Blvd E,43.6631474,-79.3097688,2,4
O'Connor Dr / Curity Ave - SMART,43.7080545045186,-79.3111195467076,2,4
Oak St / Sumach St,43.6617900894449,-79.3615232231798,0,4
Ontario Place Blvd / Lake Shore Blvd W (East),43.62869059556449,-79.4182524697256,0,4
Ontario St / Adelaide St E -SMART,43.6527144994,-79.366191978876,0,4
Orchard Park,43.6686425,-79.314246,2,4
Orde St / McCaul St,43.6580917016083,-79.3930281417629,0,4
Oriole Pkwy / Kilbarry Rd,43.695382,-79.402154,0,4
Ossington Ave / Bloor St W,43.6620538,-79.425499,0,4
Ossington Ave / College St,43.6544446,-79.4225357,0,4
Ossington Ave / Harrison St,43.6511147657839,-79.4213987825904,0,4
Pacific Ave / Glenlake Ave,43.6572333,-79.4650233,1,4
Palmerston Ave / Dundas St W,43.6516072789681,-79.4083418415009,0,4
Palmerston Ave / Vermont Ave,43.6713834808491,-79.4163800351691,0,4
Pape Ave / Gamble Ave,43.690152,-79.3500593,2,4
Pape Subway Green P,43.6800917029998,-79.3436432093741,2,4
Parkside Dr / Bloor St W - SMART,43.6544958089602,-79.4600631525991,1,4
Parliament St / Aberdeen Ave,43.665276741382,-79.368332297245,0,4
Parliament St / Gerrard St,43.6622813,-79.3670556,0,4
Phoebe St / Spadina Ave,43.6501014,-79.3964539,0,4
Polson Pier,43.6419646,-79.3525591,2,4
Pottery Rd / Lower Don River Trail,43.6881764,-79.3621126,2,4
Pretoria Av / Broadview Av,43.6785398,-79.3584836,2,4
Primrose Ave / Davenport Rd,43.6718518,-79.4461781,1,4
Princes Gate / Nunavut Dr,43.633360774738,-79.4143749199189,0,4
Priscilla  Ave / Dundas St W,43.6646648445202,-79.4893908898518,1,4
Queen St E / Alton Av,43.6638160940126,-79.3278658803415,2,4
Queen St E / Berkeley St,43.6553338043014,-79.3657536241055,0,4
Queen St E / George St (Moss Park),43.6559995,-79.3705289,0,4
Queen St E / Hammersmith Ave,43.671266724403694,-79.2944502532702,2,4
Queen St E / Nursewood Rd (Neville Park Loop),43.6738328256557,-79.2814610876689,2,4
Queen St E / Pape Ave - SMART,43.661815401529,-79.3377701314859,2,4
Queen St E / Rushbrooke Ave,43.6628412836,-79.3323483448608,2,4
Queen St E / Sackville St,43.656250791825904,-79.3614210890386,0,4
Queen St E / Woodward Ave,43.6654164315842,-79.3198389178737,2,4
Queen St W  /  Fuller Ave - SMART,43.6419481133014,-79.4394447075677,1,4
Queen St W / Close Ave,43.6407103254285,-79.435926822724,1,4
Queen St W / Cowan Ave,43.6410261246429,-79.4328355711965,1,4
Queen St W / Dovercourt Rd,43.6439651913523,-79.422754092616,0,4
Queen St W / Gladstone Ave,43.6431934,-79.4272775,1,4
Queen St W / James St,43.6521521595917,-79.380737354248,0,4
Queen St W / John St,43.6500758,-79.3912672,0,4
Queen St W / Ossington Ave,43.6443432,-79.4190046,0,4
Queen St W / Portland St,43.647599505858,-79.4015010616047,0,4
